epoch,loss,accuracy,recall,precision,f1,val_loss,val_accuracy,val_recall,val_precision,val_f1
1,0.7522,0.6334,0.4619,0.738,0.568184349,0.6134,0.6999,0.7163,0.6949,0.705437741
2,0.5592,0.7475,0.7172,0.7642,0.739954421,0.5631,0.7315,0.7779,0.7215,0.748639256
3,0.4972,0.7917,0.7502,0.8177,0.782497021,0.5001,0.7924,0.7794,0.804,0.791508905
4,0.4661,0.8155,0.7741,0.8437,0.807402856,0.4827,0.8015,0.7726,0.824,0.797472629
5,0.446,0.8295,0.7859,0.8603,0.821418746,0.4712,0.8112,0.7652,0.846,0.803573982
6,0.4332,0.8394,0.8034,0.8655,0.833294625,0.4677,0.8105,0.7231,0.8801,0.793912562
7,0.423,0.845,0.8071,0.8727,0.838619086,0.4634,0.8132,0.7305,0.8789,0.797858146
8,0.4139,0.8494,0.8108,0.878,0.843063003,0.4548,0.8236,0.7584,0.8749,0.812495145
9,0.4063,0.853,0.8183,0.8805,0.848261302,0.4499,0.8319,0.7903,0.8654,0.82614679
10,0.3994,0.8553,0.8213,0.8813,0.850242793,0.4488,0.8316,0.8037,0.8587,0.830290171
11,0.3934,0.8595,0.8278,0.8838,0.854883898,0.4457,0.8236,0.8059,0.8397,0.82245288
12,0.3876,0.8604,0.831,0.8831,0.856258211,0.4464,0.825,0.7455,0.8902,0.811449655
13,0.3829,0.8652,0.8376,0.8863,0.861262115,0.4426,0.8295,0.7584,0.8872,0.817759456
14,0.3774,0.8671,0.8412,0.8884,0.864155967,0.4467,0.8271,0.7602,0.8869,0.818676923
15,0.3737,0.8692,0.8425,0.8891,0.865172961,0.4404,0.8351,0.7942,0.8736,0.832009977
16,0.37,0.8697,0.8454,0.8893,0.866794512,0.4364,0.8313,0.8003,0.8613,0.829680296
17,0.3665,0.873,0.8504,0.8915,0.870465124,0.438,0.8288,0.7998,0.8527,0.82540328
18,0.3634,0.8722,0.8498,0.8894,0.869149172,0.437,0.8313,0.7853,0.8725,0.826606647
19,0.3589,0.8746,0.8541,0.8907,0.872016128,0.4378,0.8285,0.803,0.8536,0.827527224
20,0.3566,0.8762,0.855,0.8921,0.873156087,0.4388,0.834,0.8111,0.8566,0.83322931
21,0.3538,0.8769,0.8562,0.894,0.874691807,0.4378,0.8309,0.7908,0.8674,0.827330744
22,0.3512,0.8773,0.8601,0.891,0.875277369,0.437,0.8302,0.7833,0.8722,0.825363044
23,0.3484,0.8775,0.8564,0.8939,0.874748283,0.4346,0.8309,0.7982,0.8611,0.828457808
24,0.3458,0.8816,0.865,0.8961,0.880275396,0.4456,0.8285,0.748,0.9009,0.817360907
25,0.3446,0.8793,0.8621,0.8937,0.87761564,0.4376,0.8333,0.7921,0.8705,0.829451522
